user_id,password_length,used_special_characters,keyboard_language,login_attempts,was_capslock_on,session_ip,browser_tab_count,challenge_sequence,timezone,typing_speed_wpm,risk_label,uses_special_char,capslock_on_flag,short_password_flag,many_login_attempts_flag,fast_typing_flag,timezone_offset_hours,risk_score_heuristic
167e29bd-63c4-4c80-9eed-170bb5ac24c9,15,yes,EN,6,yes,142.143.188.170,8,5-5-7-3-9,UTC+1,72,0,1,1,0,1,0,1.0,3.0
a15a1920-933e-4fb4-ba2b-ebbac1669be2,15,no,FR,3,yes,65.219.184.129,13,6-6-4-6-9,UTC+3,36,0,0,1,0,0,0,3.0,3.0
3d720cf1-052d-4f83-8302-e87d3cb62cec,18,no,JP,7,yes,198.215.56.10,4,1-4-1-6-8,UTC+3,119,1,0,1,0,1,0,3.0,5.0
416f5903-51f1-486d-a31c-83a720595c64,16,no,CN,8,no,39.49.244.5,14,6-2-8-2-8,UTC+3,94,1,0,0,0,1,0,3.0,4.0
3425f183-78cf-4465-b678-7e0feebe6e4b,6,no,ES,4,no,222.117.180.186,1,8-9-7-1-8,UTC+0,81,1,0,0,1,0,0,0.0,4.0
223eacd6-1c1b-4d66-a2ba-e39d32b2009a,7,no,EN,8,no,193.251.110.191,15,4-7-3-4-7,UTC-7,105,1,0,0,1,1,0,-7.0,6.0
e1f6ade3-4769-4563-9e14-59af81869017,11,yes,EN,2,no,223.3.216.140,2,3-4-5-4-2,UTC+8,67,0,1,0,0,0,0,8.0,0.0
120cff5f-4c62-4ee3-bff8-40b0c9b95fd8,15,yes,EN,3,no,215.208.64.232,11,5-1-9-2-5,UTC+8,54,0,1,0,0,0,0,8.0,0.0
d769ea8c-c202-4358-95c2-a084766b0425,8,no,EN,3,yes,198.142.243.132,15,9-9-2-6-9,UTC+1,56,1,0,1,1,0,0,1.0,5.0
1dc3cdf0-1a7d-4425-9f08-8697375ac55a,18,no,EN,10,yes,170.13.29.224,7,6-9-5-5-7,UTC+3,69,1,0,1,0,1,0,3.0,5.0
a960b5ce-af0d-4e8c-a5d3-dcbffd3313b9,12,no,JP,2,yes,185.226.165.139,9,9-1-9-3-1,UTC+0,85,0,0,1,0,0,0,0.0,3.0
b637fe51-ae24-428e-bf78-c1dcf64eda4e,7,no,CN,6,no,142.254.242.185,4,2-6-6-5-1,UTC-5,68,0,0,0,1,1,0,-5.0,6.0
5ce0fefc-bcc3-47c7-b6bd-77d65c2ddc03,18,yes,CN,7,yes,186.221.155.120,7,8-6-6-5-7,UTC+8,63,0,1,1,0,1,0,8.0,3.0
ad35f2f2-0eb8-4775-948c-f011f462fffc,19,yes,FR,9,no,205.253.12.145,5,1-7-1-7-5,UTC+1,102,0,1,0,0,1,0,1.0,2.0
34b8be48-b82d-43ee-aec2-335ae4c89804,11,no,ES,9,no,207.52.40.92,4,9-4-4-2-9,UTC-7,43,0,0,0,0,1,0,-7.0,4.0
bf5c2d1f-f0c4-41ab-81b5-a286ac027b1a,6,no,ES,10,no,41.31.232.83,11,4-5-2-6-8,UTC-5,54,1,0,0,1,1,0,-5.0,6.0
ce4b83ac-def5-4720-961b-5291e8cfb3c4,19,no,EN,3,yes,199.110.83.75,3,2-3-3-1-1,UTC-5,96,0,0,1,0,0,0,-5.0,3.0
a6d89a4e-1a45-4ccc-9e06-9113ecd3ecf6,20,no,DE,1,yes,128.84.178.171,4,2-7-4-5-1,UTC-5,47,0,0,1,0,0,0,-5.0,3.0
c9a5cb21-af53-4086-9bdf-c0b14c09ace4,13,no,JP,3,no,60.35.109.215,5,9-3-9-1-4,UTC-7,71,0,0,0,0,0,0,-7.0,2.0
ec5873f7-1530-400c-ba53-5642d30dc4b4,6,yes,DE,1,yes,136.101.169.127,8,8-5-7-4-6,UTC+1,21,1,1,1,1,0,0,1.0,3.0
550d71d5-3f45-471e-99e0-579b097e6785,14,no,JP,4,yes,216.94.178.166,8,1-9-4-5-9,UTC-5,45,0,0,1,0,0,0,-5.0,3.0
3ce5e50a-0d37-463f-8ff8-d22949213416,8,yes,ES,10,no,20.53.76.150,7,4-6-8-8-8,UTC-7,72,1,1,0,1,1,0,-7.0,4.0
cc92e013-e0c4-4667-927a-d46432f89570,6,no,CN,4,yes,189.234.176.65,11,5-4-6-1-6,UTC+1,55,1,0,1,1,0,0,1.0,5.0
30ae8bd5-ff62-4538-8bc3-e277cf2f0aca,12,no,EN,8,yes,147.121.245.111,12,3-7-3-7-2,UTC+1,25,1,0,1,0,1,0,1.0,5.0
33e78344-2f35-4dc8-9e13-3123c279dcc9,18,no,ES,6,yes,160.66.189.188,5,4-6-2-5-1,UTC+3,35,0,0,1,0,1,0,3.0,5.0
ef585667-d59e-464f-a00c-bcc4b203e051,20,no,ES,3,yes,192.218.103.36,8,6-8-1-7-7,UTC-5,112,0,0,1,0,0,0,-5.0,3.0
18f8c3d1-11d3-4f0d-bd50-07ce8814b74a,19,no,CN,6,yes,186.159.45.145,10,8-7-3-9-2,UTC-7,33,1,0,1,0,1,0,-7.0,5.0
92d82e88-79bf-484a-9de3-44374c8abe31,6,yes,FR,1,yes,77.144.116.89,7,1-2-4-9-4,UTC+0,120,0,1,1,1,0,0,0.0,3.0
b37b5f8d-46f7-4f16-8603-952f26eae000,17,no,CN,9,no,3.53.249.151,8,4-9-5-4-6,UTC+1,20,1,0,0,0,1,0,1.0,4.0
8628840f-7e2c-43f0-96b2-be97e2a68334,14,yes,EN,6,no,145.68.115.215,4,2-9-9-3-9,UTC+3,93,0,1,0,0,1,0,3.0,2.0
b402d4ae-9781-420b-bbaa-15a834c609bb,9,no,DE,7,yes,74.51.35.41,6,6-7-6-4-3,UTC+3,25,1,0,1,1,1,0,3.0,7.0
9889c53d-a0b0-48cb-8eb7-51006b7824cd,19,no,JP,1,yes,197.86.60.20,9,4-6-4-6-5,UTC-7,29,0,0,1,0,0,0,-7.0,3.0
329bc9f5-b55e-4963-be03-7ed8d1f33ffb,19,yes,EN,1,no,155.163.234.90,9,4-2-2-3-8,UTC+8,116,0,1,0,0,0,0,8.0,0.0
507382fb-e2f1-499b-b9ae-330acad07f98,19,no,JP,8,no,45.149.171.127,10,2-4-5-3-5,UTC+0,68,1,0,0,0,1,0,0.0,4.0
041ceb34-71f7-4818-9e43-85b3139fde30,12,yes,ES,5,no,214.139.131.109,8,8-6-3-7-6,UTC+0,49,0,1,0,0,1,0,0.0,2.0
c7498f60-bfa7-4aea-8b83-6d4c2d7b7978,16,no,DE,1,yes,146.36.50.75,7,1-5-9-2-4,UTC-5,27,0,0,1,0,0,0,-5.0,3.0
cf31fcb5-b48a-45a2-b500-92f6be5b86fc,15,no,EN,10,no,111.187.209.170,6,2-3-9-2-4,UTC+8,120,1,0,0,0,1,0,8.0,4.0
77e66af0-174b-4691-b833-9141968e98f0,12,no,FR,10,no,1.218.186.148,12,2-9-1-1-4,UTC+1,71,1,0,0,0,1,0,1.0,4.0
89d4884f-f581-417c-88b1-0e61c6874fe1,9,yes,CN,10,no,52.203.160.26,11,8-2-8-5-4,UTC+3,109,0,1,0,1,1,0,3.0,4.0
5e19bba9-13b9-42e6-a044-c59560431064,16,no,EN,3,yes,194.133.47.141,13,3-3-4-7-2,UTC+1,42,0,0,1,0,0,0,1.0,3.0
2f242415-4449-4313-aedc-c1bc0b33a0ca,9,yes,CN,3,no,129.149.255.182,11,7-1-3-2-4,UTC-7,37,1,1,0,1,0,0,-7.0,2.0
07fe169e-135c-448a-b452-54f3b6446a39,16,no,CN,9,yes,210.32.85.249,5,6-6-5-8-9,UTC+8,50,1,0,1,0,1,0,8.0,5.0
acb56789-3aa1-4f98-a7c1-f1be04cc636b,12,yes,CN,10,yes,202.30.152.78,4,1-1-1-4-2,UTC+3,76,0,1,1,0,1,0,3.0,3.0
42dbaec6-0c51-4234-a9dd-d8df13ccee4c,11,yes,EN,1,no,188.27.16.198,9,1-3-4-8-5,UTC+1,95,0,1,0,0,0,0,1.0,0.0
beab1d8c-add4-4399-8f3a-06761f05a4d4,12,yes,JP,6,yes,181.44.4.200,6,5-5-8-1-2,UTC+3,86,0,1,1,0,1,0,3.0,3.0
79fb1693-da67-46fe-b116-a1228fd592a3,10,yes,CN,9,no,221.59.95.165,9,4-6-5-5-9,UTC-7,60,0,1,0,0,1,0,-7.0,2.0
1dc0939f-c373-4b10-959f-084c0481d82b,16,no,DE,8,no,217.212.61.223,3,5-3-3-6-7,UTC+8,45,1,0,0,0,1,0,8.0,4.0
81a366be-ad7a-4bb0-a8cc-9c52c0be5661,13,yes,FR,9,yes,52.232.222.164,13,7-2-9-5-2,UTC-7,66,0,1,1,0,1,0,-7.0,3.0
e42bfb99-1892-46e9-ad9f-ce86676ab307,16,yes,JP,5,no,216.125.248.138,14,8-7-8-3-6,UTC+0,40,0,1,0,0,1,0,0.0,2.0
9fbac92c-ba9a-441a-9747-e6210e1621ad,19,yes,JP,9,yes,192.51.155.214,15,6-9-4-5-7,UTC-7,86,0,1,1,0,1,0,-7.0,3.0
5fffdb63-f409-4a99-bfb1-2bf2c43d83f7,11,no,JP,9,no,176.28.59.101,7,6-9-1-4-3,UTC+1,118,0,0,0,0,1,0,1.0,4.0
2b8f38b1-5aa5-4a8e-bcb0-eff87709f0c8,10,yes,EN,8,yes,75.250.180.208,6,8-6-5-1-9,UTC+3,86,0,1,1,0,1,0,3.0,3.0
3ce25f3e-47cb-4630-95d1-1a1fcbf3cd22,7,yes,EN,7,no,164.209.116.49,2,3-3-1-4-7,UTC-5,43,1,1,0,1,1,0,-5.0,4.0
25c82324-ddba-4f67-9223-aa072bfa845f,17,no,ES,8,yes,193.225.39.147,13,7-4-5-6-2,UTC+1,24,1,0,1,0,1,0,1.0,5.0
27390127-2071-4d03-bcf2-83a422ce2f48,18,no,ES,3,no,147.160.179.215,5,1-9-5-2-2,UTC+1,83,1,0,0,0,0,0,1.0,2.0
8a8bb16a-2bbc-4227-8c85-3597af1fae86,6,no,DE,7,no,222.231.91.141,9,8-7-8-4-3,UTC+8,56,1,0,0,1,1,0,8.0,6.0
2b7066b8-b536-4590-ab1d-1087639cc4ee,18,yes,EN,9,yes,29.211.58.126,1,8-1-7-4-5,UTC+1,92,0,1,1,0,1,0,1.0,3.0
58609674-53d8-40e9-a385-133992cea0b6,12,yes,FR,4,no,215.128.99.179,9,9-9-7-9-3,UTC+1,89,0,1,0,0,0,0,1.0,0.0
0ade883e-b934-415c-900f-512957d27e8a,13,no,ES,5,yes,163.75.49.72,9,1-6-2-3-4,UTC+0,54,1,0,1,0,1,0,0.0,5.0
606f77e4-7691-46e7-bfc7-b2e98ab0a0c5,16,no,JP,4,yes,176.192.98.125,9,5-3-9-4-4,UTC-7,85,1,0,1,0,0,0,-7.0,3.0
6a3b51ef-b60e-43fa-b735-4a40687cf0fa,11,yes,DE,8,no,211.171.68.188,8,7-3-9-2-2,UTC+8,54,0,1,0,0,1,0,8.0,2.0
5b523792-7ab2-4d2f-a4ca-a0f845766d9d,16,no,JP,5,yes,217.156.157.165,2,8-5-2-2-1,UTC+8,27,1,0,1,0,1,0,8.0,5.0
c9ec977f-cb26-43f0-b923-da4f1ec652e5,8,no,FR,4,yes,194.61.253.95,12,6-9-1-4-9,UTC+3,48,1,0,1,1,0,0,3.0,5.0
8a15e6d7-acf2-4d4b-b19f-b3a84eed2dc7,14,yes,FR,1,yes,29.90.68.49,7,2-8-2-4-1,UTC-5,47,0,1,1,0,0,0,-5.0,1.0
c0fec652-4029-4e3d-bff3-06cbf1dfee58,16,yes,EN,2,yes,152.167.155.179,5,3-3-4-2-7,UTC+1,86,0,1,1,0,0,0,1.0,1.0
ee56b554-8d81-4334-8cc2-abf2f711a554,11,yes,DE,4,no,169.130.120.39,13,7-8-6-5-3,UTC-7,55,1,1,0,0,0,0,-7.0,0.0
f1a8f17d-08dd-40eb-b47d-718ab21b2d67,15,no,EN,1,yes,32.33.250.46,13,4-1-2-2-5,UTC+1,45,0,0,1,0,0,0,1.0,3.0
304a3cca-0602-4f22-9191-86712e7f37cb,20,no,ES,1,no,44.44.187.177,7,4-9-8-3-9,UTC-7,21,0,0,0,0,0,0,-7.0,2.0
1c5e6fab-fe1f-4b84-b4f1-b41d9de5a0a7,10,no,JP,10,yes,200.165.4.193,10,8-3-7-6-4,UTC+0,32,1,0,1,0,1,0,0.0,5.0
b215db71-8c93-4942-9bda-8e612951d68e,13,yes,ES,9,yes,198.182.18.181,14,2-9-7-4-7,UTC+3,22,0,1,1,0,1,0,3.0,3.0
2024944f-43d7-42cc-aaec-fc0280f936e0,15,yes,EN,7,yes,193.25.164.69,1,3-1-4-7-6,UTC+1,116,0,1,1,0,1,0,1.0,3.0
f354fd48-6ce2-4f66-9089-0720db7ff584,12,yes,ES,8,no,118.61.5.0,14,2-2-2-4-8,UTC+3,63,0,1,0,0,1,0,3.0,2.0
f899c148-a4bb-48fc-a6d3-743cf48a96f5,15,yes,CN,2,yes,183.231.35.222,7,3-3-4-4-6,UTC+1,41,0,1,1,0,0,0,1.0,1.0
7b8e871c-dc31-40c8-a392-daddf18e9ef1,18,no,ES,7,yes,144.47.192.7,11,2-3-3-8-2,UTC+0,111,1,0,1,0,1,0,0.0,5.0
06161801-ad0e-46cc-a900-17002c77e47f,6,yes,DE,5,no,160.41.4.229,2,7-2-5-4-7,UTC-5,54,1,1,0,1,1,0,-5.0,4.0
83194615-ccd1-475f-90f6-b097197715c2,20,no,JP,8,yes,213.69.6.1,11,2-5-2-1-1,UTC-5,87,1,0,1,0,1,0,-5.0,5.0
7337326b-1752-45a8-ba54-7418cb164e60,10,no,ES,10,yes,89.132.58.196,15,2-1-5-6-8,UTC+0,70,1,0,1,0,1,0,0.0,5.0
b1457376-b003-4d98-b418-b5edf7a7b7e3,12,yes,CN,4,yes,162.69.218.171,13,8-1-9-2-3,UTC+1,36,0,1,1,0,0,0,1.0,1.0
9611c0f2-de5a-4d45-9474-3c7e5908bf16,11,no,EN,2,no,133.201.127.13,10,1-4-1-2-2,UTC-7,37,0,0,0,0,0,0,-7.0,2.0
de1dbc06-7d30-4d21-b6de-6104844dbd9b,18,no,JP,10,no,8.14.254.221,9,4-9-3-7-3,UTC+0,61,1,0,0,0,1,0,0.0,4.0
019140cf-b377-41bc-b94a-f75dece51533,10,no,DE,3,yes,80.204.102.252,7,5-7-1-2-1,UTC-5,44,1,0,1,0,0,0,-5.0,3.0
b4ca7c8f-01aa-42ed-9cf2-392e9a19e8bb,13,no,EN,6,no,213.71.30.185,6,8-3-4-8-7,UTC+1,102,1,0,0,0,1,0,1.0,4.0
de7f86df-b942-47cf-8403-3be5bc1ebe24,11,no,DE,1,no,218.181.196.12,12,7-1-4-3-7,UTC+8,112,1,0,0,0,0,0,8.0,2.0
1f01deb0-e900-4c03-9cc3-3d1133e41e62,7,no,DE,3,yes,173.159.28.252,3,1-6-3-9-9,UTC+3,32,1,0,1,1,0,0,3.0,5.0
4f9a0700-d34c-43bf-a873-b192e6268a93,10,yes,DE,2,no,47.161.225.204,3,1-3-2-7-8,UTC+1,42,0,1,0,0,0,0,1.0,0.0
23b48b48-f69a-4d59-aa2c-0e6794bec52b,15,no,EN,2,yes,201.219.46.12,10,7-8-4-4-3,UTC+0,85,0,0,1,0,0,0,0.0,3.0
70498152-a910-4188-bba0-7866efad0b77,13,yes,ES,6,yes,212.163.239.202,10,3-8-2-7-2,UTC+1,48,0,1,1,0,1,0,1.0,3.0
75c45d38-2db4-4214-ac2f-4918f6fd8b77,20,yes,EN,1,yes,146.14.4.64,14,6-2-1-3-4,UTC-5,116,0,1,1,0,0,0,-5.0,1.0
f42a3c4a-02ef-4e36-bd06-c4270169e1c3,10,no,FR,5,no,201.255.73.250,3,4-9-4-5-8,UTC+0,89,1,0,0,0,1,0,0.0,4.0
b6ca31e5-35d1-4757-a2cd-d1b90f003404,6,yes,FR,7,no,71.166.26.206,10,8-3-6-1-8,UTC+0,27,1,1,0,1,1,0,0.0,4.0
f443879e-4a71-4018-8a25-889bb7e5c21f,18,no,CN,1,yes,60.152.29.80,4,5-9-6-1-6,UTC+0,34,0,0,1,0,0,0,0.0,3.0
c2fdebf1-ee55-4e13-9cfd-4142e07f84b0,10,yes,CN,3,no,211.45.215.171,7,5-5-2-9-9,UTC+0,60,1,1,0,0,0,0,0.0,0.0
77d1b84d-e3bb-420f-9940-df221919770c,16,no,FR,9,no,196.56.126.182,11,3-9-9-9-8,UTC+3,49,1,0,0,0,1,0,3.0,4.0
d41bf5c7-c4f9-453b-914e-3b5efc3de993,13,no,ES,8,yes,218.132.187.88,12,3-1-2-3-4,UTC+8,30,1,0,1,0,1,0,8.0,5.0
22d57656-fe79-4171-9619-f72edabc7aa4,17,no,FR,4,yes,134.75.247.213,14,4-3-6-6-3,UTC+1,78,0,0,1,0,0,0,1.0,3.0
29854645-9ced-46cd-92e5-2b72d564acd9,15,no,JP,1,no,200.133.24.14,7,7-2-3-3-6,UTC+8,85,0,0,0,0,0,0,8.0,2.0
ed30bfa1-648b-44a3-8e82-cc7df6d9a694,17,yes,ES,8,yes,195.134.243.206,15,3-6-1-8-6,UTC-7,24,0,1,1,0,1,0,-7.0,3.0
6ae86b0f-4f58-45ca-ba7c-7452e799d645,8,no,DE,10,yes,213.62.115.151,10,2-6-7-6-4,UTC+3,72,1,0,1,1,1,0,3.0,7.0
d60657f5-2384-468d-b2be-0ba327bea09c,6,yes,DE,8,yes,39.44.95.91,13,4-3-1-8-8,UTC+3,102,1,1,1,1,1,0,3.0,5.0
864efe44-6bb4-40a2-b9bd-bbf183880fff,14,no,ES,10,yes,195.73.245.59,15,7-3-3-8-3,UTC+3,100,1,0,1,0,1,0,3.0,5.0
bde69bdf-c23d-4576-a5f2-25ff6c7b7f86,17,yes,FR,8,yes,76.146.162.95,6,6-3-6-3-9,UTC+3,104,0,1,1,0,1,0,3.0,3.0
2791b872-a394-4ced-8d70-679b2c499dab,19,no,EN,2,yes,181.0.232.17,3,6-5-8-9-8,UTC-5,86,0,0,1,0,0,0,-5.0,3.0
9e2452f2-077a-4963-b847-e34d89c70619,15,yes,DE,8,no,58.151.193.142,10,2-5-5-1-4,UTC-7,89,0,1,0,0,1,0,-7.0,2.0
780d072d-1ee3-404a-89a3-d2dcd53a881f,11,no,FR,9,yes,44.27.58.233,13,8-6-9-2-5,UTC+8,25,1,0,1,0,1,0,8.0,5.0
656aaa54-8f4e-4307-9591-9c0da104a48b,14,no,EN,7,no,133.172.123.13,2,3-7-5-8-4,UTC+0,77,1,0,0,0,1,0,0.0,4.0
ce310111-ac9c-46f3-b2cd-472bd56e2ce3,16,yes,FR,10,yes,223.211.143.66,15,6-4-8-4-2,UTC+0,99,0,1,1,0,1,0,0.0,3.0
864278ca-59d6-415c-8406-7c5bf5064b81,15,yes,FR,8,no,176.34.153.36,11,1-2-9-4-8,UTC-7,20,0,1,0,0,1,0,-7.0,2.0
1ae02287-6e13-42a9-9c86-b2106cf2f0e2,8,no,ES,9,no,199.44.96.58,7,7-1-5-2-5,UTC+0,84,1,0,0,1,1,0,0.0,6.0
85b034ef-c8b6-4415-80b7-51d78ac50eae,18,yes,FR,5,no,192.231.245.118,8,6-5-7-7-2,UTC+0,119,0,1,0,0,1,0,0.0,2.0
d7405ffa-b6ed-4349-87cf-fc0dde4b003f,8,yes,ES,10,no,206.93.176.125,6,7-8-6-7-8,UTC+3,30,1,1,0,1,1,0,3.0,4.0
dc45cebd-944b-4b69-9cb7-452afc6b355e,8,no,FR,5,no,197.108.73.204,10,3-1-8-8-2,UTC-7,96,0,0,0,1,1,0,-7.0,6.0
817d4937-93ad-4770-8a6b-a65fe54d1eee,20,yes,FR,8,yes,212.155.93.138,4,4-7-9-7-1,UTC+0,22,0,1,1,0,1,0,0.0,3.0
7aaf9227-411e-404a-a6b2-ecace0e3ff62,18,no,ES,3,yes,132.92.123.119,6,6-2-3-2-2,UTC-5,110,0,0,1,0,0,0,-5.0,3.0
6859d8e8-3260-474d-a4c6-135bb65e84bf,12,no,JP,1,no,210.221.76.161,8,8-7-9-2-7,UTC+0,111,0,0,0,0,0,0,0.0,2.0
cf947aef-a8b3-40f9-aabb-d779e830af65,18,no,EN,1,no,175.142.98.240,4,5-9-9-1-2,UTC+3,76,0,0,0,0,0,0,3.0,2.0
5017cdf0-ac5e-48f7-a330-18d16f3fa088,8,yes,CN,8,yes,216.130.254.20,1,2-2-8-6-8,UTC+3,77,1,1,1,1,1,0,3.0,5.0
ce5e013c-10bd-4d52-bba6-f7318f73ddc7,8,no,JP,1,no,206.174.117.13,5,4-6-5-4-1,UTC+8,109,1,0,0,1,0,0,8.0,4.0
b75572b6-f3c4-4a9a-8951-907783e415b0,17,yes,FR,10,yes,130.6.146.122,15,7-3-3-9-6,UTC+0,116,0,1,1,0,1,0,0.0,3.0
0163e9d3-86d2-4935-b195-fc100eb78f28,19,no,ES,4,yes,101.176.137.67,5,1-1-5-1-4,UTC-7,66,0,0,1,0,0,0,-7.0,3.0
c9397052-5314-4b6c-b497-f396a6eb9f34,11,yes,FR,10,no,154.85.235.118,12,2-5-4-3-3,UTC-7,56,0,1,0,0,1,0,-7.0,2.0
604e6115-00cd-4456-b523-f563c42d97aa,10,yes,ES,3,yes,169.162.96.237,7,2-1-7-3-7,UTC-7,34,0,1,1,0,0,0,-7.0,1.0
c4cdad10-7232-4084-b0cf-55e3786e5bf2,6,yes,ES,2,yes,220.97.215.102,9,2-1-8-3-3,UTC+8,34,0,1,1,1,0,0,8.0,3.0
b4efca09-51d0-4963-b0a2-e2cc0083fe0b,11,no,ES,6,yes,195.223.90.82,4,5-7-8-7-9,UTC+3,104,1,0,1,0,1,0,3.0,5.0
f29d357c-5acb-4ef1-ab74-caff34623741,16,yes,JP,9,no,212.195.41.8,12,1-6-6-9-9,UTC-7,75,0,1,0,0,1,0,-7.0,2.0
2477f887-19d9-47bd-8825-ea24e48858dc,7,no,FR,7,yes,155.172.223.11,3,1-9-2-6-4,UTC+3,40,1,0,1,1,1,0,3.0,7.0
a7654d29-a3da-4841-b210-968960ce4804,13,no,JP,6,no,177.192.147.98,4,5-7-1-7-6,UTC+1,91,1,0,0,0,1,0,1.0,4.0
32126a5f-07ce-4e04-b2c8-488aa80987f5,10,yes,JP,10,yes,171.231.15.68,1,4-1-9-6-2,UTC-7,59,0,1,1,0,1,0,-7.0,3.0
71236d8a-643b-4917-a891-193dd7200f9a,19,yes,CN,3,yes,176.140.109.43,9,3-3-2-5-4,UTC+3,114,1,1,1,0,0,0,3.0,1.0
f5c65c66-f68d-490f-b811-91498a8737a2,11,yes,FR,2,no,75.75.125.65,15,9-6-3-1-1,UTC-7,84,0,1,0,0,0,0,-7.0,0.0
a37571f8-a38d-48bc-bf2c-eed1ed0684a0,11,no,EN,8,yes,202.162.29.115,10,8-1-8-2-4,UTC-5,95,1,0,1,0,1,0,-5.0,5.0
4d7c9085-9d62-4910-94ca-fb0a95920e51,11,yes,FR,1,yes,206.116.9.143,3,5-7-4-6-9,UTC-5,105,1,1,1,0,0,0,-5.0,1.0
ccc1c03f-79de-4e97-be8c-3f52790d6d2a,17,yes,DE,10,no,197.66.99.197,13,9-6-3-6-9,UTC+3,20,0,1,0,0,1,0,3.0,2.0
46d417fe-9f3e-46ad-af01-8b975335c60e,12,no,CN,9,yes,193.68.204.185,14,3-9-6-4-4,UTC+0,103,1,0,1,0,1,0,0.0,5.0
94b9dc57-ef2b-4122-a7c1-d5e36640939c,8,yes,JP,4,no,209.156.54.234,5,1-1-7-1-2,UTC+8,107,0,1,0,1,0,0,8.0,2.0
12973304-eca7-4709-a299-0e18d55ebccf,6,no,CN,8,yes,200.93.139.171,13,9-3-7-9-2,UTC+0,91,1,0,1,1,1,0,0.0,7.0
94e190bc-cf20-44c8-b24c-d7a6810062c4,7,no,JP,3,no,215.12.148.172,1,1-1-5-4-6,UTC+3,114,1,0,0,1,0,0,3.0,4.0
d25be6dc-3171-461b-a1c3-24b0d42bdfa1,8,yes,CN,3,yes,134.0.205.36,14,6-8-5-2-6,UTC+0,90,0,1,1,1,0,0,0.0,3.0
5c94fd51-a46c-4e56-bd02-a8487be26a27,19,no,JP,8,no,198.99.223.30,6,5-9-4-7-6,UTC+8,65,1,0,0,0,1,0,8.0,4.0
